QID,M1_EmbedTime,M2_IndexSize,M3_RetLatency,M4_CosSim,M5_TopK_Acc,M6_R1,M7_R2,M8_RL,M9_CtxLen,M10_BLEU,M11_METEOR,M12_BERT_F1,M13_FCD,M14_Faithfulness,M15_GTCov,M16_E2E_Lat,M17_Throughput,M18_CPU,M19_RAM,M20_CitAcc,M21_TermPrec,M22_PrecCov,M23_FCD_dup,M24_Bias
0,Cached,19793,0.5,0.556,1,0.129,0.1,0.129,915,0.014,0.17,0.08,92.0,48.8,75.0,83.03,0.01,61.6,19.89,0.0,2.4,100,92.0,2.4
1,Cached,19793,0.5,0.599,1,0.062,0.032,0.062,764,0.005,0.116,0.073,92.7,37.5,66.7,58.74,0.02,10.7,19.83,0.0,0.0,100,92.7,0.0
